suburb_id,suburb,property_category,year,month,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,auctionNumberWithdrawn,daysOnMarket,discountPercentage,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
104,Acacia Ridge,Unit,2016,11,,1.0,245000.0,245000.0,,,,,,8.0,349000.0,210000.0,,,,,,,7.0,390.0,250.0
104,Acacia Ridge,Unit,2017,2,,,,,,,,,,7.0,383000.0,199000.0,,,,,,,5.0,360.0,250.0
104,Acacia Ridge,Unit,2017,5,,1.0,245000.0,245000.0,,,,,,5.0,383000.0,199000.0,,,,,,365.0,10.0,395.0,285.0
104,Acacia Ridge,Unit,2017,8,,6.0,360000.0,255000.0,,,,,,5.0,383000.0,240000.0,,,,,,,3.0,360.0,260.0
104,Acacia Ridge,Unit,2017,11,,5.0,345000.0,230000.0,,,,,349000.0,10.0,777000.0,233000.0,,,,,,,4.0,365.0,295.0
104,Acacia Ridge,Unit,2018,2,,3.0,354000.0,230000.0,,,,,322000.0,10.0,783000.0,233000.0,1.0,,,,,,9.0,380.0,255.0
104,Acacia Ridge,Unit,2018,5,,2.0,275000.0,239000.0,,,,,,7.0,783000.0,239000.0,,,,,,360.0,13.0,370.0,288.0
104,Acacia Ridge,Unit,2018,8,,4.0,325000.0,239000.0,,,,,,9.0,12000000.0,239000.0,,,,,,,5.0,370.0,245.0
104,Acacia Ridge,Unit,2018,11,,1.0,310000.0,310000.0,,,,,,6.0,783000.0,210000.0,,,,,,,8.0,370.0,288.0
104,Acacia Ridge,Unit,2019,2,,1.0,200000.0,200000.0,,,,,,4.0,783000.0,195000.0,,,,,,350.0,11.0,370.0,287.0
104,Acacia Ridge,Unit,2019,5,,6.0,487000.0,239000.0,,,,,,7.0,349000.0,170000.0,,,,,,345.0,12.0,380.0,280.0
104,Acacia Ridge,Unit,2019,8,,2.0,318000.0,310000.0,,,,,,7.0,349000.0,170000.0,,,,,,363.0,10.0,380.0,296.0
104,Acacia Ridge,Unit,2019,11,,5.0,475000.0,160000.0,,,,,259000.0,13.0,349000.0,170000.0,1.0,,,,,360.0,13.0,370.0,265.0
104,Acacia Ridge,Unit,2020,2,,5.0,331000.0,239000.0,,,,,298000.0,15.0,350000.0,170000.0,,,,,,360.0,12.0,400.0,287.0
104,Acacia Ridge,Unit,2020,5,,5.0,340000.0,230000.0,,,,,300000.0,15.0,349000.0,160000.0,1.0,,,,,,9.0,365.0,320.0
104,Acacia Ridge,Unit,2020,8,,4.0,340000.0,230000.0,,,,,,7.0,339000.0,160000.0,,,,,,,4.0,330.0,295.0
104,Acacia Ridge,Unit,2020,11,,2.0,450000.0,320000.0,,,,,,5.0,329000.0,300000.0,,,,,,,7.0,350.0,260.0
104,Acacia Ridge,Unit,2021,2,,5.0,367000.0,320000.0,,,,,,6.0,330000.0,195000.0,,,,,,310.0,11.0,360.0,270.0
104,Acacia Ridge,Unit,2021,5,,8.0,380000.0,180000.0,,,,,,7.0,368000.0,179000.0,,,,,,320.0,11.0,420.0,260.0
104,Acacia Ridge,Unit,2021,8,,5.0,340000.0,260000.0,,,,,,7.0,368000.0,252000.0,,,,,,310.0,14.0,395.0,240.0
324,Albion,Unit,2016,11,515000.0,37.0,909000.0,246000.0,335000.0,399000.0,560000.0,900000.0,489000.0,57.0,1090000.0,219000.0,1.0,,,,,375.0,60.0,685.0,200.0
324,Albion,Unit,2017,2,517000.0,32.0,1275000.0,217000.0,320000.0,395000.0,684000.0,855000.0,469000.0,57.0,1090000.0,250000.0,1.0,,,,,413.0,70.0,680.0,210.0
324,Albion,Unit,2017,5,495000.0,46.0,840000.0,329000.0,338000.0,425000.0,573000.0,749000.0,465000.0,61.0,2000000.0,250000.0,,,,,,400.0,66.0,620.0,200.0
324,Albion,Unit,2017,8,463000.0,53.0,2400000.0,300000.0,329000.0,385000.0,515000.0,780000.0,475000.0,85.0,2000000.0,295000.0,1.0,,,80.0,,360.0,61.0,750.0,190.0
324,Albion,Unit,2017,11,475000.0,25.0,2400000.0,245000.0,325000.0,419000.0,835000.0,985000.0,483000.0,95.0,2000000.0,250000.0,2.0,,,198.0,,380.0,51.0,690.0,170.0
324,Albion,Unit,2018,2,444000.0,20.0,805000.0,313000.0,313000.0,400000.0,660000.0,745000.0,485000.0,88.0,1090000.0,270000.0,1.0,,,109.0,,378.0,54.0,720.0,180.0
324,Albion,Unit,2018,5,437000.0,20.0,835000.0,300000.0,300000.0,400000.0,540000.0,810000.0,440000.0,63.0,4950000.0,270000.0,2.0,,,,,390.0,53.0,610.0,200.0
324,Albion,Unit,2018,8,399000.0,19.0,1150000.0,275000.0,275000.0,350000.0,465000.0,1150000.0,480000.0,65.0,1595000.0,200000.0,1.0,,,,,360.0,51.0,595.0,180.0
324,Albion,Unit,2018,11,432000.0,21.0,1150000.0,255000.0,280000.0,394000.0,560000.0,682000.0,463000.0,63.0,1260000.0,268000.0,1.0,1.0,,,,375.0,54.0,875.0,190.0
324,Albion,Unit,2019,2,385000.0,17.0,1418000.0,290000.0,290000.0,365000.0,490000.0,1418000.0,440000.0,51.0,890000.0,250000.0,4.0,,,,,380.0,55.0,680.0,170.0
324,Albion,Unit,2019,5,369000.0,10.0,450000.0,290000.0,290000.0,360000.0,395000.0,450000.0,410000.0,62.0,865000.0,249000.0,3.0,,,,,390.0,45.0,875.0,160.0
324,Albion,Unit,2019,8,383000.0,12.0,460000.0,283000.0,283000.0,352000.0,410000.0,460000.0,413000.0,54.0,800000.0,200000.0,4.0,1.0,,,,400.0,70.0,640.0,200.0
