Suburb,Postcode,State,suburb_id
Acacia Ridge,4110,QLD,104
Albion,4010,QLD,324
Albion,4822,QLD,344
Alderley,4051,QLD,364
Algester,4115,QLD,464
Annerley,4103,QLD,914
Anstead,4070,QLD,924
Archerfield,4108,QLD,1084
Ascot,4007,QLD,1224
Ascot,4359,QLD,1234
Ashgrove,4060,QLD,1264
Aspley,4034,QLD,1294
Auchenflower,4066,QLD,1384
Bald Hills,4036,QLD,1624
Balmoral,4171,QLD,1734
Banks Creek,4306,QLD,1864
Banyo,4014,QLD,1924
Bardon,4065,QLD,2004
Bellbowrie,4070,QLD,2704
Belmont,4153,QLD,2794
Boondall,4034,QLD,4034
Bowen Hills,4006,QLD,4264
Bracken Ridge,4017,QLD,4384
Bridgeman Downs,4035,QLD,4594
Brighton,4017,QLD,4644
Brisbane Airport,4008,QLD,123134
Brisbane City,4000,QLD,4754
Brookfield,4069,QLD,4884
Bulimba,4171,QLD,5224
Burbank,4156,QLD,5624
Calamvale,4116,QLD,6214
Camp Hill,4152,QLD,6484
Cannon Hill,4170,QLD,6664
Carina,4152,QLD,6914
Carina Heights,4152,QLD,6924
Carindale,4152,QLD,6934
Carseldine,4034,QLD,7074
Chandler,4155,QLD,7444
Chapel Hill,4069,QLD,7454
Chelmer,4068,QLD,7574
Chermside,4032,QLD,7624
Chermside West,4032,QLD,7634
Chuwar,4306,QLD,7824
Clayfield,4011,QLD,7934
Coopers Plains,4108,QLD,8964
Coorparoo,4151,QLD,9064
Corinda,4075,QLD,9264
Darra,4076,QLD,10334
Deagon,4017,QLD,10394
Doolandella,4077,QLD,10994
Drewvale,4116,QLD,11164
Durack,4077,QLD,11464
Dutton Park,4102,QLD,11524
Eagle Farm,4009,QLD,11574
East Brisbane,4169,QLD,11664
Eight Mile Plains,4113,QLD,12034
Ellen Grove,4078,QLD,12184
England Creek,4306,QLD,12374
Enoggera,4051,QLD,12384
Enoggera Reservoir,4520,QLD,12404
Everton Park,4053,QLD,12834
Fairfield,4103,QLD,12864
Ferny Grove,4055,QLD,13074
Fig Tree Pocket,4069,QLD,13114
Fitzgibbon,4018,QLD,13224
Forest Lake,4078,QLD,13474
Fortitude Valley,4006,QLD,13594
Gaythorne,4051,QLD,13954
Geebung,4034,QLD,13964
Gordon Park,4031,QLD,15244
Graceville,4075,QLD,15364
Grange,4051,QLD,15424
Greenslopes,4120,QLD,15684
Gumdale,4154,QLD,15904
Hamilton,4007,QLD,16204
Hawthorne,4171,QLD,16414
Heathwood,4110,QLD,16484
Hemmant,4174,QLD,16574
Hendra,4011,QLD,16604
Herston,4006,QLD,16654
Highgate Hill,4101,QLD,16774
Holland Park,4121,QLD,16984
Holland Park West,4121,QLD,16994
Inala,4077,QLD,17464
Indooroopilly,4068,QLD,17474
Jamboree Heights,4074,QLD,17984
Jindalee,4074,QLD,18184
Kalinga,4030,QLD,18514
Kangaroo Point,4169,QLD,18614
Karana Downs,4306,QLD,18674
Karawatha,4117,QLD,18694
Kedron,4031,QLD,18874
Kelvin Grove,4059,QLD,18904
Kenmore,4069,QLD,18944
Kenmore Hills,4069,QLD,18954
Keperra,4054,QLD,19034
Kholo,4306,QLD,19134
Kuraby,4112,QLD,19984
Lake Manchester,4306,QLD,20324
Larapinta,4110,QLD,20594
Lota,4179,QLD,21204
Lutwyche,4030,QLD,21424
Lytton,4178,QLD,21484
Macgregor,4109,QLD,21564
Mackenzie,4156,QLD,21674
Mackenzie,4702,QLD,21694
Manly,4179,QLD,21974
Manly West,4179,QLD,21984
Mansfield,4122,QLD,22024
McDowall,4053,QLD,22514
Middle Park,4074,QLD,22924
Milton,4064,QLD,23214
Mitchelton,4053,QLD,23414
Moggill,4070,QLD,23464
Moorooka,4105,QLD,23924
Morningside,4170,QLD,24074
Mount Coot-Tha,4066,QLD,24394
Mount Crosby,4306,QLD,24414
Mount Gravatt,4122,QLD,24564
Mount Gravatt East,4122,QLD,24574
Mount Ommaney,4074,QLD,24954
Murarrie,4172,QLD,26984
Nathan,4111,QLD,27384
New Farm,4005,QLD,27624
Newmarket,4051,QLD,27684
Newstead,4006,QLD,27704
Norman Park,4170,QLD,28114
Northgate,4013,QLD,28564
Nudgee,4014,QLD,28604
Nudgee Beach,4014,QLD,28614
Nundah,4012,QLD,28644
Oxley,4075,QLD,29184
Paddington,4064,QLD,29304
Pallara,4110,QLD,29364
Parkinson,4115,QLD,29624
Petrie Terrace,4000,QLD,30034
Pinjarra Hills,4069,QLD,30294
Pinkenba,4008,QLD,30314
Port Of Brisbane,4178,QLD,43584
Pullenvale,4069,QLD,30854
Ransome,4154,QLD,31134
Red Hill,4059,QLD,31234
Red Hill,4413,QLD,31244
Richlands,4077,QLD,31504
Riverhills,4074,QLD,31694
Robertson,4109,QLD,31804
Rochedale,4123,QLD,31834
Rocklea,4106,QLD,31914
Runcorn,4113,QLD,32434
Salisbury,4107,QLD,32594
Sandgate,4017,QLD,32664
Seven Hills,4170,QLD,33014
Seventeen Mile Rocks,4073,QLD,33034
Sherwood,4075,QLD,33184
Shorncliffe,4017,QLD,33224
Sinnamon Park,4073,QLD,33384
South Brisbane,4101,QLD,33624
Spring Hill,4000,QLD,34064
St Lucia,4067,QLD,34254
Stafford,4053,QLD,34284
Stafford Heights,4053,QLD,34294
Stones Corner,4120,QLD,34524
Stretton,4116,QLD,34664
Sumner,4074,QLD,34764
Sunnybank,4109,QLD,34834
Sunnybank Hills,4109,QLD,34844
Taigum,4018,QLD,35174
Taringa,4068,QLD,35594
Tarragindi,4121,QLD,35654
Teneriffe,4005,QLD,35794
Tennyson,4105,QLD,35804
